num_lectures,price,days_since_published,content_duration
77,20,2535,2.5
15,20,2400,3.0
11,20,2830,2.0
13,20,2498,1.5
5,20,2613,1.0
5,20,1964,1.0
43,100,2647,5.5
18,0,2413,5.0
36,50,2231,7.0
19,55,1826,2.0
18,55,2634,1.5
6,40,1998,0.5833333333333334
131,150,2268,19.5
5,50,2135,1.0
45,195,2105,4.0
5,20,3093,1.0
15,95,2241,1.0
34,125,2095,2.0
22,0,1908,2.0
80,200,2331,6.5
21,100,2103,5.0
44,20,2484,2.5
20,20,2018,2.0
5,0,2803,0.5166666666666666
29,75,2533,3.0
8,40,2052,1.0
38,0,2179,1.0
14,20,2544,0.65
154,195,2911,26.0
18,25,2107,5.0
14,20,2107,1.5
37,20,2322,1.5
68,40,1777,8.5
16,30,2933,2.0
13,100,1780,3.5
42,30,3080,4.0
90,50,2583,16.0
12,20,2334,1.0
24,50,2286,0.7
25,145,1995,3.5
101,50,3646,8.0
56,95,2631,6.0
94,20,2567,8.0
24,20,2720,2.0
18,195,2193,1.0
32,20,3258,2.0
13,20,2951,1.0
44,20,2464,5.5
23,50,2431,1.5
64,95,2613,3.5
11,20,2157,0.6
19,20,2480,1.0
46,40,3129,12.0
45,35,1920,3.0
60,100,2513,6.0
27,40,2066,2.0
179,35,2291,17.5
13,20,1862,3.0
27,195,3033,4.0
42,35,3149,3.5
39,50,2940,5.5
29,200,2524,2.0
31,50,2931,3.5
57,50,2217,7.0
27,50,2478,2.5
7,20,2346,0.6833333333333333
6,0,1847,1.0
12,20,2260,2.0
25,200,1947,1.0
28,20,2169,1.0
12,20,2801,1.5
19,30,2745,1.0
16,35,2227,1.0
16,0,2241,1.5
17,50,2921,3.0
6,60,1821,0.7
36,20,1843,4.5
30,120,2435,1.5
31,100,2427,1.5
50,50,3100,3.0
12,0,1840,1.5
11,20,2255,0.5
8,20,2589,1.0
7,25,2262,0.6166666666666667
15,20,1912,1.0
11,20,1881,1.0
27,50,2931,8.5
32,195,2273,2.0
41,30,3584,2.5
15,20,1800,1.0
20,200,2049,1.5
28,20,3079,1.5
28,60,2276,5.5
12,100,1786,2.5
11,40,2741,2.5
6,60,1835,0.6666666666666666
39,200,1876,2.5
17,0,2266,1.5
22,25,3158,3.0
157,100,2018,12.5
26,95,2379,3.5
9,20,1819,1.0
40,50,2261,4.5
8,0,1805,0.65
6,80,2267,0.7
105,150,1974,5.5
29,95,2022,1.5
27,20,2687,2.0
35,200,2550,5.0
24,100,2011,1.0
7,125,1895,0.6333333333333333
43,20,2412,2.5
26,0,3136,3.5
7,0,2452,0.6
32,200,2106,3.0
10,75,2344,1.0
25,0,1850,3.5
22,20,1897,1.5
73,100,3078,9.0
49,50,1921,3.0
23,40,2171,5.5
10,20,2955,1.0
23,40,2161,1.5
212,195,1926,37.5
42,35,2547,2.0
23,200,2522,2.0
38,20,2442,3.5
10,20,3677,0.6
16,40,2361,1.5
104,50,2576,5.0
45,50,2232,3.5
13,0,2393,1.0
24,60,2056,1.5
37,50,2259,3.5
32,50,2113,2.0
38,140,1898,3.0
59,50,2373,2.5
22,50,2232,2.0
22,20,2466,1.5
55,20,2088,10.0
9,20,1850,0.5333333333333333
9,50,2808,0.6833333333333333
9,0,1988,1.0
26,200,1911,1.5
12,100,1786,1.5
38,20,1903,4.0
12,20,2585,0.65
132,100,2262,16.0
15,150,2006,0.65
32,20,2332,3.0
46,200,1938,3.5
21,200,1973,1.5
72,195,2306,5.0
25,20,2672,2.0
16,200,2385,1.5
137,110,2074,7.0
10,50,2085,0.5666666666666667
11,0,2216,1.0
21,100,2164,2.0
24,200,1800,4.0
5,200,2408,0.5333333333333333
89,50,2589,6.0
12,25,1945,1.0
